"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"fc1b11249faefc4ef21a576e34e457529ea9fa9d";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"retrofit2.Utils"
"a0594600652b5f1716298e9c444abc0fb5cfc279";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"retrofit2.ScalarsConverterFactory"
"a0594600652b5f1716298e9c444abc0fb5cfc279";"ADDITIONAL_CLASS";NA;"CLASS";"false";NA
"7e4beeb66e3b5e66907410b930b653ff5ad63ead";"COMMENT_DELETE";NA;"LINE_COMMENT";"false";"retrofit.RequestBuilderAction.PartMap.perform(RequestBuilder,Object)"
"7e4beeb66e3b5e66907410b930b653ff5ad63ead";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"retrofit.RequestBuilderAction.PartMap.perform(RequestBuilder,Object)"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"STATEMENT_INSERT";NA;"SWITCH_CASE";"false";"retrofit.RequestBuilder.RequestBuilder(String,MethodInfo,Converter)"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"COMMENT_INSERT";NA;"LINE_COMMENT";"false";"retrofit.RequestBuilder.RequestBuilder(String,MethodInfo,Converter)"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"ALTERNATIVE_PART_INSERT";NA;"ELSE_STATEMENT";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"ALTERNATIVE_PART_INSERT";NA;"ELSE_STATEMENT";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"retrofit.MethodInfo.parseMethodAnnotations()"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"retrofit.RequestBuilder.setArguments(Object[])"
"8247d65426ee3658c18f540e87e2925f9ea4e4cc";"COMMENT_INSERT";NA;"LINE_COMMENT";"false";"retrofit.RequestBuilder.RequestBuilder(String,MethodInfo,Converter)"
