"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"6cfdf973f8918e5e8d8874d57358dc6237efc2f0";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.scribe.builder.ServiceBuilder.callback(String)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.scribe.oauth.OAuth10aServiceImpl.getSignature(OAuthRequest,Token)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"false";"org.scribe.oauth.OAuth10aServiceImpl.getSignature(OAuthRequest,Token)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.getRequestToken()"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_UPDATE";NA;"CONSTRUCTOR_INVOCATION";"false";"org.scribe.model.OAuthConfig.OAuthConfig(String,String)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"org.scribe.model.OAuthConfig.OAuthConfig(String,String,String,SignatureType,String,OutputStream)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.scribe.oauth.OAuth10aServiceImpl.getRequestToken()"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"org.scribe.model.OAuthConfig.OAuthConfig(String,String,String,SignatureType,String,OutputStream)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.appendSignature(OAuthRequest)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.signRequest(Token,OAuthRequest)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.getSignature(OAuthRequest,Token)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.scribe.oauth.OAuth10aServiceImpl.getRequestToken()"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.getSignature(OAuthRequest,Token)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.scribe.builder.ServiceBuilder"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.scribe.model.OAuthConfig.OAuthConfig(String,String,String,SignatureType,String,OutputStream)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.getSignature(OAuthRequest,Token)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.scribe.model.OAuthConfig.OAuthConfig(String,String,String,SignatureType,String,OutputStream)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.scribe.oauth.OAuth10aServiceImpl.getSignature(OAuthRequest,Token)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.getRequestToken()"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.scribe.builder.ServiceBuilder.build()"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.scribe.builder.ServiceBuilder"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"PARAMETER_INSERT";NA;"PARAMETER";"false";"org.scribe.model.OAuthConfig.OAuthConfig(String,String,String,SignatureType,String,OutputStream)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.signRequest(Token,OAuthRequest)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.scribe.model.OAuthConfig"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.getRequestToken()"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.scribe.builder.ServiceBuilder.ServiceBuilder()"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.appendSignature(OAuthRequest)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.getAccessToken(Token,Verifier)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.getAccessToken(Token,Verifier)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.addOAuthParams(OAuthRequest,Token)"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.getRequestToken()"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.scribe.model.OAuthConfig"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.scribe.builder.ServiceBuilder.ServiceBuilder()"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.scribe.builder.ServiceBuilder"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.scribe.oauth.OAuth10aServiceImpl.getRequestToken()"
"0a63f935d231eb50ba9db52c0735fbcb96e7589c";"ADDITIONAL_CLASS";NA;"CLASS";"false";NA
"83b62f607993074867c0cffec6cdc0253f921628";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.scribe.services.HMACSha1SignatureService.getSignature(String,String,String)"
"83b62f607993074867c0cffec6cdc0253f921628";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.scribe.utils.OAuthEncoder.decode(String)"
"83b62f607993074867c0cffec6cdc0253f921628";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.scribe.builder.api.FacebookApi.getAuthorizationUrl(OAuthConfig)"
"83b62f607993074867c0cffec6cdc0253f921628";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.scribe.extractors.BaseStringExtractorImpl.extract(OAuthRequest)"
"83b62f607993074867c0cffec6cdc0253f921628";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.scribe.builder.api.Foursquare2Api.getAuthorizationUrl(OAuthConfig)"
"83b62f607993074867c0cffec6cdc0253f921628";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.scribe.model.ParameterList.addQuerystring(String)"
"83b62f607993074867c0cffec6cdc0253f921628";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"false";"org.scribe.utils.OAuthEncoder.decode(String)"
