"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"acee8c743f6c252d808c36ba2f3d8b7db0e4e311";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"io.selendroid.server.model.SelendroidDriver.createNewTestSession(JSONObject)"
"acee8c743f6c252d808c36ba2f3d8b7db0e4e311";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"io.selendroid.server.SelendroidServer.SelendroidServer(SelendroidConfiguration)"
"acee8c743f6c252d808c36ba2f3d8b7db0e4e311";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"io.selendroid.server.model.SelendroidDriver.initApplicationsUnderTest(SelendroidConfiguration)"
"acee8c743f6c252d808c36ba2f3d8b7db0e4e311";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"io.selendroid.android.AndroidSdk.platformToolsHome()"
"acee8c743f6c252d808c36ba2f3d8b7db0e4e311";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"io.selendroid.android.AndroidSdk.android()"
"acee8c743f6c252d808c36ba2f3d8b7db0e4e311";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"io.selendroid.server.model.SelendroidDriver.createNewTestSession(JSONObject)"
"acee8c743f6c252d808c36ba2f3d8b7db0e4e311";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"io.selendroid.server.model.SelendroidDriver.createNewTestSession(JSONObject)"
"acee8c743f6c252d808c36ba2f3d8b7db0e4e311";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"io.selendroid.server.model.DeviceStore.findAndroidDevice(SelendroidCapabilities)"
"acee8c743f6c252d808c36ba2f3d8b7db0e4e311";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"io.selendroid.server.model.SelendroidDriver.createNewTestSession(JSONObject)"
"acee8c743f6c252d808c36ba2f3d8b7db0e4e311";"STATEMENT_INSERT";NA;"TRY_STATEMENT";"false";"io.selendroid.server.model.SelendroidDriver.createNewTestSession(JSONObject)"
"acee8c743f6c252d808c36ba2f3d8b7db0e4e311";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"io.selendroid.server.model.SelendroidDriver.createNewTestSession(JSONObject)"
"acee8c743f6c252d808c36ba2f3d8b7db0e4e311";"STATEMENT_DELETE";NA;"THROW_STATEMENT";"false";"io.selendroid.server.model.DeviceStore.findAndroidDevice(SelendroidCapabilities)"
