"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"ALTERNATIVE_PART_INSERT";NA;"ELSE_STATEMENT";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"com.seyren.core.service.schedule.CheckScheduler.CheckRunner.run()"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"com.seyren.core.service.notification.PagerDutyNotificationService"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_PARENT_CHANGE";NA;"FOREACH_STATEMENT";"false";"com.seyren.core.service.schedule.CheckScheduler.CheckRunner.run()"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"ALTERNATIVE_PART_INSERT";NA;"ELSE_STATEMENT";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"false";"com.seyren.core.service.schedule.CheckScheduler.CheckRunner.run()"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"com.seyren.core.util.config.SeyrenConfig.SeyrenConfig(GraphiteConfig)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"com.seyren.core.service.notification.PagerDutyNotificationService"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"com.seyren.core.service.notification.PagerDutyNotificationService"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.seyren.core.service.notification.PagerDutyNotificationService"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.seyren.core.service.notification.EmailNotificationService"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_PARENT_CHANGE";NA;"TRY_STATEMENT";"false";"com.seyren.core.service.schedule.CheckScheduler.CheckRunner.run()"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"com.seyren.core.service.schedule.CheckScheduler.CheckRunner.run()"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"com.seyren.core.service.notification.NotificationService"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"CONDITION_EXPRESSION_CHANGE";NA;"FOREACH_STATEMENT";"false";"com.seyren.core.service.schedule.CheckScheduler.CheckRunner.run()"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.seyren.core.service.schedule.CheckScheduler.CheckRunner.run()"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.seyren.core.service.schedule.CheckScheduler.CheckRunner.run()"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"com.seyren.core.service.schedule.CheckScheduler.CheckRunner.run()"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"com.seyren.core.service.notification.EmailNotificationService"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.seyren.core.service.schedule.CheckScheduler.sendStatusEmail()"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.seyren.core.service.notification.NotificationService"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"ALTERNATIVE_PART_DELETE";NA;"ELSE_STATEMENT";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.sendNotification(Check,Subscription,List<Alert>)"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.seyren.core.service.schedule.CheckScheduler.sendStatusEmail()"
"404f653b1bf634c3780cc106d1c3b716506b2fdb";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.seyren.core.service.notification.PagerDutyNotificationService.createNotificationDetails(Check,List<Alert>)"
