"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_PARENT_CHANGE";NA;"RETURN_STATEMENT";"false";"org.springframework.data.jpa.repository.support.QueryDslJpaRepository.createQuery(Predicate...)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"ATTRIBUTE_RENAMING";NA;"FIELD";"false";"org.springframework.data.jpa.repository.support.SimpleJpaRepository.metadata : CrudMethodMetadata"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.springframework.data.jpa.repository.support.QueryDslJpaRepository.createQuery(Predicate...)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.springframework.data.jpa.repository.support.QueryDslJpaRepository"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.springframework.data.jpa.repository.support.QueryDslJpaRepository.createQuery(Predicate...)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.data.jpa.repository.support.QueryDslJpaRepository.createQuery(Predicate...)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"CONDITION_EXPRESSION_CHANGE";NA;"FOREACH_STATEMENT";"false";"org.springframework.data.jpa.repository.support.SimpleJpaRepository.applyRepositoryMethodMetadata(TypedQuery<T>)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.data.jpa.repository.support.SimpleJpaRepository.findOne(ID)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.springframework.data.jpa.repository.support.CrudMethodMetadata"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.springframework.data.jpa.repository.support.QueryDslJpaRepository.createQuery(Predicate...)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.springframework.data.jpa.repository.support.QueryDslJpaRepository.createQuery(Predicate...)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.data.jpa.repository.support.QueryDslJpaRepository.createQuery(Predicate...)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.springframework.data.jpa.repository.support.QueryDslJpaRepository.createQuery(Predicate...)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.data.jpa.repository.support.SimpleJpaRepository.applyRepositoryMethodMetadata(TypedQuery<T>)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"org.springframework.data.jpa.repository.support.SimpleJpaRepository.setRepositoryMethodMetadata(CrudMethodMetadata)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.springframework.data.jpa.repository.support.SimpleJpaRepository.applyRepositoryMethodMetadata(TypedQuery<T>)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"false";"org.springframework.data.jpa.repository.support.SimpleJpaRepository.applyRepositoryMethodMetadata(TypedQuery<T>)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"false";"org.springframework.data.jpa.repository.support.SimpleJpaRepository.getRepositoryMethodMetadata()"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.springframework.data.jpa.repository.support.QueryDslJpaRepository.QueryDslJpaRepository(JpaEntityInformation<T, ID>,EntityManager,EntityPathResolver)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.data.jpa.repository.support.SimpleJpaRepository.findOne(ID)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"org.springframework.data.jpa.repository.support.SimpleJpaRepository.applyRepositoryMethodMetadata(TypedQuery<T>)"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"DOC_UPDATE";NA;"JAVADOC";"false";"org.springframework.data.jpa.repository.support.CrudMethodMetadata"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.springframework.data.jpa.repository.support.SimpleJpaRepository.getRepositoryMethodMetadata()"
"bacf6cce26f25e9c0f72e77fdc8734c6763cad4a";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"org.springframework.data.jpa.repository.support.SimpleJpaRepository.findOne(ID)"
