"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"f018193ca73648d00d3f7a0becc1864db44efa41";"PARAMETER_DELETE";NA;"PARAMETER";"false";"org.springframework.data.neo4j.repository.GraphRepositoryImpl.save(S)"
"f018193ca73648d00d3f7a0becc1864db44efa41";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.springframework.data.neo4j.repository.query.GraphQueryMethod.createQuery()"
"f018193ca73648d00d3f7a0becc1864db44efa41";"DOC_UPDATE";NA;"JAVADOC";"false";"org.neo4j.ogm.mapper.GraphToEntityMapper.map(Class<T>,G)"
"f018193ca73648d00d3f7a0becc1864db44efa41";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.springframework.data.neo4j.repository.GraphRepositoryImpl.count()"
"f018193ca73648d00d3f7a0becc1864db44efa41";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.springframework.data.neo4j.repository.GraphRepositoryImpl.findOne(Long,int)"
"f018193ca73648d00d3f7a0becc1864db44efa41";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"false";"org.springframework.data.neo4j.repository.GraphRepositoryImpl.save(S)"
"f018193ca73648d00d3f7a0becc1864db44efa41";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"org.springframework.data.neo4j.repository.support.GraphEntityInformation.GraphEntityInformation(Class<T>)"
"f018193ca73648d00d3f7a0becc1864db44efa41";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"org.springframework.data.neo4j.repository.support.GraphEntityInformation"
"f018193ca73648d00d3f7a0becc1864db44efa41";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.springframework.data.neo4j.repository.GraphRepositoryImpl.findAll(int)"
"f018193ca73648d00d3f7a0becc1864db44efa41";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.springframework.data.neo4j.repository.GraphRepositoryImpl.save(Iterable<S>)"
"f018193ca73648d00d3f7a0becc1864db44efa41";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.springframework.data.neo4j.repository.GraphRepositoryImpl.findAll(Iterable<Long>,int)"
"f018193ca73648d00d3f7a0becc1864db44efa41";"DOC_DELETE";NA;"JAVADOC";"false";"org.springframework.data.neo4j.repository.query.GraphQueryLookupStrategy.GraphQueryLookupStrategy(Session,QueryLookupStrategy.Key,EvaluationContextProvider)"
"f018193ca73648d00d3f7a0becc1864db44efa41";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.data.neo4j.repository.GraphRepositoryImpl.count()"
"f018193ca73648d00d3f7a0becc1864db44efa41";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.springframework.data.neo4j.repository.query.GraphQueryMethod.createQuery()"
"f018193ca73648d00d3f7a0becc1864db44efa41";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.neo4j.ogm.session.Session"
