"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"5486712b1b1749abc0e72b52291e5f338a04e170";"CONDITION_EXPRESSION_CHANGE";NA;"IF_STATEMENT";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.saveAndReturn(Object,RepositoryInvoker,HttpMethod,PersistentEntityResourceAssembler,boolean)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.springframework.data.rest.core.config.RepositoryRestConfiguration"
"5486712b1b1749abc0e72b52291e5f338a04e170";"PARAMETER_RENAMING";NA;"PARAMETER";"false";"org.springframework.data.rest.core.config.RepositoryRestConfiguration.setReturnBodyOnCreate(Boolean)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.putItemResource(RootResourceInformation,PersistentEntityResource,Serializable,PersistentEntityResourceAssembler,ETag,String)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"DOC_UPDATE";NA;"JAVADOC";"false";"org.springframework.data.rest.core.config.RepositoryRestConfiguration.isReturnBodyOnCreate()"
"5486712b1b1749abc0e72b52291e5f338a04e170";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.createAndReturn(Object,RepositoryInvoker,PersistentEntityResourceAssembler,boolean)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.patchItemResource(RootResourceInformation,PersistentEntityResource,Serializable,PersistentEntityResourceAssembler,ETag,String)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.postCollectionResource(RootResourceInformation,PersistentEntityResource,PersistentEntityResourceAssembler,String)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.springframework.data.rest.core.config.RepositoryRestConfiguration"
"5486712b1b1749abc0e72b52291e5f338a04e170";"DOC_UPDATE";NA;"JAVADOC";"false";"org.springframework.data.rest.core.config.RepositoryRestConfiguration.setReturnBodyOnCreate(Boolean)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.saveAndReturn(Object,RepositoryInvoker,HttpMethod,PersistentEntityResourceAssembler,boolean)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"false";"org.springframework.data.rest.core.config.RepositoryRestConfiguration.setReturnBodyOnCreate(Boolean)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"PARAMETER_INSERT";NA;"PARAMETER";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.createAndReturn(Object,RepositoryInvoker,PersistentEntityResourceAssembler,boolean)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"PARAMETER_DELETE";NA;"PARAMETER";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.createAndReturn(Object,RepositoryInvoker,PersistentEntityResourceAssembler,boolean)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.createAndReturn(Object,RepositoryInvoker,PersistentEntityResourceAssembler,boolean)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.patchItemResource(RootResourceInformation,PersistentEntityResource,Serializable,PersistentEntityResourceAssembler,ETag,String)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"DOC_UPDATE";NA;"JAVADOC";"false";"org.springframework.data.rest.core.config.RepositoryRestConfiguration"
"5486712b1b1749abc0e72b52291e5f338a04e170";"DOC_UPDATE";NA;"JAVADOC";"false";"org.springframework.data.rest.core.config.RepositoryRestConfiguration.setReturnBodyOnUpdate(Boolean)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.putItemResource(RootResourceInformation,PersistentEntityResource,Serializable,PersistentEntityResourceAssembler,ETag,String)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"DOC_UPDATE";NA;"JAVADOC";"false";"org.springframework.data.rest.core.config.RepositoryRestConfiguration.isReturnBodyOnUpdate()"
"5486712b1b1749abc0e72b52291e5f338a04e170";"PARAMETER_INSERT";NA;"PARAMETER";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.saveAndReturn(Object,RepositoryInvoker,HttpMethod,PersistentEntityResourceAssembler,boolean)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"PARAMETER_DELETE";NA;"PARAMETER";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.saveAndReturn(Object,RepositoryInvoker,HttpMethod,PersistentEntityResourceAssembler,boolean)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"DOC_UPDATE";NA;"JAVADOC";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController"
"5486712b1b1749abc0e72b52291e5f338a04e170";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.data.rest.webmvc.RepositoryEntityController.postCollectionResource(RootResourceInformation,PersistentEntityResource,PersistentEntityResourceAssembler,String)"
"5486712b1b1749abc0e72b52291e5f338a04e170";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.springframework.data.rest.core.config.RepositoryRestConfiguration"
