"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.linkTo(Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.hateoas.jaxrs.JaxRsLinkBuilder.linkTo(Class<?>,Object...)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.linkTo(Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"org.springframework.hateoas.mvc.AnnotatedParametersParameterAccessor.AnnotatedParametersParameterAccessor()"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.RequestParamParameterAccessor.verifyParameterValue(MethodParameter,Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.linkTo(Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.linkTo(Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"DOC_DELETE";NA;"JAVADOC";"false";"org.springframework.hateoas.mvc.AnnotatedParametersParameterAccessor.AnnotatedParametersParameterAccessor()"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"true";"org.springframework.hateoas.core.LinkBuilderSupport.slash(UriComponents,boolean)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"true";"org.springframework.hateoas.core.LinkBuilderSupport.slash(UriComponents,boolean)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.springframework.hateoas.core.LinkBuilderSupport.slash(Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.bindRequestParameters(UriComponentsBuilder,BoundMethodParameter)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"ALTERNATIVE_PART_INSERT";NA;"ELSE_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.bindRequestParameters(UriComponentsBuilder,BoundMethodParameter)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.bindRequestParameters(UriComponentsBuilder,BoundMethodParameter)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"org.springframework.hateoas.mvc.AnnotatedParametersParameterAccessor.verifyParameterValue(MethodParameter,Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"ADDITIONAL_OBJECT_STATE";NA;"FIELD";"false";"org.springframework.hateoas.jaxrs.JaxRsLinkBuilder"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.springframework.hateoas.jaxrs.JaxRsLinkBuilder.linkTo(Class<?>,Map<String, ?>)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_PARENT_CHANGE";NA;"IF_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.bindRequestParameters(UriComponentsBuilder,BoundMethodParameter)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.springframework.hateoas.mvc.AnnotatedParametersParameterAccessor.BoundMethodParameter"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilder.linkTo(Class<?>,Method,Object...)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_DELETE";NA;"IF_STATEMENT";"false";"org.springframework.hateoas.mvc.AnnotatedParametersParameterAccessor.BoundMethodParameter.asString()"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilder"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_DELETE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.hateoas.mvc.AnnotatedParametersParameterAccessor.verifyParameterValue(MethodParameter,Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_ORDERING_CHANGE";NA;"METHOD_INVOCATION";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.linkTo(Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"PARAMETER_DELETE";NA;"PARAMETER";"false";"org.springframework.hateoas.mvc.AnnotatedParametersParameterAccessor.AnnotatedParametersParameterAccessor()"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.springframework.hateoas.mvc.AnnotatedParametersParameterAccessor.BoundMethodParameter.asString()"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"org.springframework.hateoas.mvc.AnnotatedParametersParameterAccessor.AnnotatedParametersParameterAccessor()"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.linkTo(Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.springframework.hateoas.jaxrs.JaxRsLinkBuilder.linkTo(Class<?>,Object...)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.linkTo(Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.linkTo(Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilder.ControllerLinkBuilder(UriComponentsBuilder)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"ADDITIONAL_CLASS";NA;"CLASS";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilder"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"ADDITIONAL_CLASS";NA;"CLASS";"false";"org.springframework.hateoas.jaxrs.JaxRsLinkBuilder"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_DELETE";NA;"THROW_STATEMENT";"false";"org.springframework.hateoas.mvc.AnnotatedParametersParameterAccessor.verifyParameterValue(MethodParameter,Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.bindRequestParameters(UriComponentsBuilder,BoundMethodParameter)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"org.springframework.hateoas.jaxrs.JaxRsLinkBuilder.linkTo(Class<?>,Map<String, ?>)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.RequestParamParameterAccessor"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.RequestParamParameterAccessor.verifyParameterValue(MethodParameter,Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_INSERT";NA;"FOREACH_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.linkTo(Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.RequestParamParameterAccessor.verifyParameterValue(MethodParameter,Object)"
"2daf8aabfb78b6767bf27ac3e473832c872302c7";"STATEMENT_PARENT_CHANGE";NA;"RETURN_STATEMENT";"false";"org.springframework.hateoas.mvc.ControllerLinkBuilderFactory.RequestParamParameterAccessor.verifyParameterValue(MethodParameter,Object)"
