"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"com.squareup.omar.ProtoAdapter.ProtoAdapter(Omar,Class<M>)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"com.squareup.omar.Omar.equals(Object,Object)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.squareup.omar.ProtoAdapter.readValue(CodedInputByteBufferNano,int,int)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"IF_STATEMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"ALTERNATIVE_PART_INSERT";NA;"ELSE_STATEMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"ASSIGNMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"ASSIGNMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"COMMENT_INSERT";NA;"LINE_COMMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"WHILE_STATEMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"IF_STATEMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"COMMENT_INSERT";NA;"LINE_COMMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"THROW_STATEMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_PARENT_CHANGE";NA;"IF_STATEMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_PARENT_CHANGE";NA;"METHOD_INVOCATION";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_UPDATE";NA;"ASSIGNMENT";"true";"com.squareup.omar.ProtoAdapter.read(CodedInputByteBufferNano)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"FOR_STATEMENT";"false";"com.squareup.omar.Omar.equals(Object,Object)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.squareup.omar.Message.ExtendableMessage.Extension.getRepeatedEnumExtension(Class<X>,int,boolean,Class<Type>)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_UPDATE";NA;"RETURN_STATEMENT";"false";"com.squareup.omar.Message.ExtendableMessage.Extension.getRepeatedExtension(Class<X>,int,int,boolean)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"COMMENT_MOVE";NA;"LINE_COMMENT";"false";"com.squareup.omar.ProtoAdapter.ProtoAdapter(Omar,Class<M>)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.squareup.omar.Omar"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"com.squareup.omar.compiler.OmarCompiler.emitExtensions(JavaWriter)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"METHOD_INVOCATION";"false";"com.squareup.omar.compiler.OmarCompiler.emitMessageEquals(JavaWriter,MessageType)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"com.squareup.omar.Omar.equals(Object,Object)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.squareup.omar.compiler.OmarCompiler.emitMessageHashCode(JavaWriter,MessageType)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"RETURN_TYPE_CHANGE";NA;"PARAMETERIZED_TYPE";"false";"com.squareup.omar.Message.ExtendableMessage.Extension.getRepeatedExtension(Class<X>,int,int,boolean)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"com.squareup.omar.Omar.equals(Object,Object)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"com.squareup.omar.Omar"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_PARENT_CHANGE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.squareup.omar.ProtoAdapter.ProtoAdapter(Omar,Class<M>)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"ALTERNATIVE_PART_INSERT";NA;"ELSE_STATEMENT";"false";"com.squareup.omar.compiler.OmarCompiler.emitMessageHashCode(JavaWriter,MessageType)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"ALTERNATIVE_PART_INSERT";NA;"ELSE_STATEMENT";"false";"com.squareup.omar.compiler.OmarCompiler.emitExtensions(JavaWriter)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"POSTFIX_EXPRESSION";"false";"com.squareup.omar.Omar.equals(Object,Object)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"RETURN_TYPE_CHANGE";NA;"PARAMETERIZED_TYPE";"false";"com.squareup.omar.Message.ExtendableMessage.Extension.getRepeatedEnumExtension(Class<X>,int,boolean,Class<Type>)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"ASSIGNMENT";"false";"com.squareup.omar.compiler.OmarCompiler.emitExtensions(JavaWriter)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"false";"com.squareup.omar.ProtoAdapter.ProtoAdapter(Omar,Class<M>)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_INSERT";NA;"IF_STATEMENT";"false";"com.squareup.omar.compiler.OmarCompiler.emitExtensions(JavaWriter)"
"6ed0f0c0edf05f3a07c1703b68c79f888af55450";"STATEMENT_DELETE";NA;"METHOD_INVOCATION";"false";"com.squareup.omar.compiler.OmarCompiler.emitMessageFields(JavaWriter,MessageType)"
